"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.540635600E-1,-6.580262445E-3,-2.898306549E-1,9.817452431E0,9.821731891E0
3.565109030E-1,2.991028363E-3,-3.568296731E-1,9.862915993E0,9.869369192E0
3.589573100E-1,2.931207791E-2,-3.687937856E-1,9.908379555E0,9.915283831E0
3.614029870E-1,8.673982322E-2,-3.448655605E-1,9.932307243E0,9.938671100E0
3.638495490E-1,1.322034448E-1,-3.616153300E-1,9.956535339E0,9.963977086E0
3.662967890E-1,1.585244983E-1,-3.305086195E-1,9.992427826E0,9.999148955E0
3.687431950E-1,1.896311939E-1,-3.257229924E-1,1.000439167E1,1.001148881E1
3.711889240E-1,1.896311939E-1,-3.185445070E-1,1.003310490E1,1.003995142E1
3.736353830E-1,1.896311939E-1,-3.089732230E-1,1.007856941E1,1.008508730E1
3.760826740E-1,2.159522474E-1,-3.329014480E-1,1.016471100E1,1.017245341E1
3.785291330E-1,2.207378894E-1,-3.281157911E-1,1.022453117E1,1.023217586E1
3.809748100E-1,2.039881349E-1,-3.233301640E-1,1.026520920E1,1.027232561E1
3.834212680E-1,2.063809484E-1,-3.424727321E-1,1.029153061E1,1.029929526E1
3.858686120E-1,2.087737769E-1,-3.472583890E-1,1.029631615E1,1.030428557E1
3.883150180E-1,2.015953064E-1,-3.735794425E-1,1.031545830E1,1.032418918E1
3.907606950E-1,2.015953064E-1,-3.831507266E-1,1.032742214E1,1.033649328E1
3.932071530E-1,2.542374134E-1,-3.855435550E-1,1.026042366E1,1.027081176E1
3.956544970E-1,2.470589429E-1,-3.855435550E-1,1.016231823E1,1.017262964E1
3.981009030E-1,2.446661144E-1,-3.735794425E-1,1.004985523E1,1.005977203E1
4.005465800E-1,2.087737769E-1,-3.879363835E-1,9.764810562E0,9.774743293E0
4.029931430E-1,1.393819153E-1,-3.568296731E-1,9.630811691E0,9.638427702E0
4.054403830E-1,8.673982322E-2,-3.616153300E-1,9.685847282E0,9.692983391E0
4.078867890E-1,1.734796353E-2,-3.759722710E-1,9.767203331E0,9.774452261E0
4.103324660E-1,-5.204389244E-2,-4.022932947E-1,9.901201248E0,9.909507284E0
4.127790280E-1,-7.597211748E-2,-4.692923427E-1,9.990034103E0,1.000133933E1
4.152262680E-1,-1.166501045E-1,-4.863412082E-1,9.915557861E0,9.928163109E0
4.176727260E-1,-1.046859920E-1,-5.150550604E-1,9.716953278E0,9.731157273E0
4.201184030E-1,-1.357926875E-1,-4.839483798E-1,9.456135750E0,9.469485150E0
4.225648620E-1,-1.310070455E-1,-4.645066857E-1,9.257232666E0,9.269805065E0
4.250122050E-1,-8.315058798E-2,-4.310071766E-1,9.087342262E0,9.097937711E0
4.274586120E-1,-3.768695518E-2,-4.262215197E-1,9.010771751E0,9.020925266E0
4.299042890E-1,1.734796353E-2,-3.735794425E-1,8.919844627E0,8.927681151E0
4.323507470E-1,5.324030295E-2,-4.046861231E-1,8.876773834E0,8.886153222E0
4.347980910E-1,1.034895778E-1,-4.357928336E-1,8.850452423E0,8.861779369E0
4.372444970E-1,1.034895778E-1,-4.549354017E-1,8.819046974E0,8.831379612E0
4.396901740E-1,1.226321608E-1,-4.911268353E-1,8.840881348E0,8.855361496E0
4.421367370E-1,1.274178028E-1,-5.533402562E-1,8.836095810E0,8.854321538E0
4.445839760E-1,1.226321608E-1,-6.059823632E-1,8.840881348E0,8.862473485E0
4.470304350E-1,1.585244983E-1,-6.658028960E-1,8.855237961E0,8.881647530E0
4.494761120E-1,8.195417374E-2,-7.375875711E-1,8.780761719E0,8.812067196E0
4.519225700E-1,6.759724021E-2,-7.423732281E-1,8.720941544E0,8.752742930E0
4.543698620E-1,7.238288224E-2,-7.639086246E-1,8.653942108E0,8.687894433E0
4.568163200E-1,-2.572284266E-2,-7.232306600E-1,8.594121933E0,8.624538020E0
4.592619970E-1,-2.820539773E-1,-3.448655605E-1,8.661120415E0,8.672571334E0
4.617084550E-1,-3.323032558E-1,-2.922234535E-1,8.936594009E0,8.947543377E0
4.641557990E-1,-3.729812205E-1,-4.046861231E-1,9.113663673E0,9.130265681E0
4.666022050E-1,-4.902295470E-1,-5.772684813E-1,9.187840462E0,9.219000828E0
4.690478830E-1,-6.433702111E-1,-7.447660565E-1,9.204590797E0,9.257056414E0
4.714943410E-1,-7.558328509E-1,-8.739784956E-1,9.202198029E0,9.274457950E0
4.739416850E-1,-8.108677864E-1,-9.002995491E-1,9.214161873E0,9.293482924E0
4.763880910E-1,-8.422735929E-1,-9.002995491E-1,9.206983566E0,9.289160913E0
4.788337680E-1,-7.845467329E-1,-8.309076428E-1,9.257232666E0,9.327501151E0
4.812803300E-1,-7.079764009E-1,-7.495517135E-1,9.269196510E0,9.326363831E0
4.837275700E-1,-6.314060688E-1,-5.940182209E-1,9.242876053E0,9.283441657E0
4.861740280E-1,-5.428716540E-1,-3.137588799E-1,9.254839897E0,9.276056047E0
4.886197050E-1,-4.280161560E-1,3.565305769E-1,9.015557289E0,9.032750695E0
4.910661640E-1,-4.088735580E-1,2.751746178E-1,8.864809990E0,8.878499581E0
4.935135080E-1,-5.069792867E-1,4.037888348E-2,8.864809990E0,8.879387063E0
4.959599140E-1,-5.644070506E-1,-2.204387933E-1,8.998807907E0,9.019184682E0
4.984055910E-1,-6.170491576E-1,-4.453641176E-1,9.209376335E0,9.240763569E0
5.008520490E-1,-6.601199508E-1,-6.107679605E-1,9.403493881E0,9.446401062E0
5.032993930E-1,-6.529414654E-1,-6.921239495E-1,9.551849365E0,9.599124669E0
5.057457990E-1,-6.409773827E-1,-6.993024349E-1,9.707382202E0,9.753622154E0
5.081914760E-1,-6.936194897E-1,-5.892325640E-1,9.829416275E0,9.871460242E0
5.106379350E-1,-6.529414654E-1,-4.573282301E-1,9.915557861E0,9.947550923E0
5.130852780E-1,-5.859424472E-1,-3.233301640E-1,9.982855797E0,1.000526266E1
5.155316850E-1,-5.428716540E-1,-2.204387933E-1,9.961320877E0,9.978537794E0
5.179773620E-1,-5.021936297E-1,-1.725823283E-1,9.958928108E0,9.973075362E0
5.204239240E-1,-4.974080026E-1,-1.558325738E-1,9.951749802E0,9.965391243E0
