"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.765866740E-1,-1.214357466E-1,-5.485545993E-1,9.783952713E0,9.800070892E0
5.790336530E-1,-1.190429255E-1,-5.581258535E-1,9.740881920E0,9.757584551E0
5.814789650E-1,-1.190429255E-1,-5.629115105E-1,9.721739769E0,9.738750676E0
5.839252150E-1,-1.238285750E-1,-5.653043389E-1,9.745667458E0,9.762834461E0
5.863714130E-1,-1.238285750E-1,-5.581258535E-1,9.764810562E0,9.781531746E0
5.888175070E-1,-1.046859920E-1,-5.509474277E-1,9.731310844E0,9.747456744E0
5.912645380E-1,-1.190429255E-1,-5.485545993E-1,9.750452995E0,9.766597001E0
5.937098510E-1,-1.310070455E-1,-5.676971674E-1,9.762416840E0,9.779786576E0
5.961561010E-1,-1.190429255E-1,-5.772684813E-1,9.745667458E0,9.763475012E0
5.986030800E-1,-1.333998591E-1,-5.748756528E-1,9.760024071E0,9.777849835E0
6.010483920E-1,-1.477568001E-1,-5.653043389E-1,9.764810562E0,9.782276135E0
6.034946420E-1,-1.333998591E-1,-5.509474277E-1,9.738489151E0,9.754973579E0
6.059407360E-1,-1.333998591E-1,-5.676971674E-1,9.771988869E0,9.789373935E0
6.083869860E-1,-1.286142170E-1,-5.629115105E-1,9.783952713E0,9.800976567E0
6.108339650E-1,-1.262213886E-1,-5.557330847E-1,9.767203331E0,9.783814798E0
6.132792780E-1,-1.333998591E-1,-5.533402562E-1,9.740881920E0,9.757497709E0
6.157255280E-1,-1.310070455E-1,-5.724828243E-1,9.738489151E0,9.756181137E0
6.181725070E-1,-1.214357466E-1,-5.676971674E-1,9.760024071E0,9.777274496E0
6.206178190E-1,-1.262213886E-1,-5.724828243E-1,9.771988869E0,9.789557440E0
6.230640690E-1,-1.262213886E-1,-5.676971674E-1,9.748060226E0,9.765392470E0
6.255101630E-1,-1.310070455E-1,-5.653043389E-1,9.745667458E0,9.762928149E0
6.279564130E-1,-1.190429255E-1,-5.629115105E-1,9.762416840E0,9.779356990E0
6.304033920E-1,-1.142572835E-1,-5.557330847E-1,9.750452995E0,9.766945664E0
6.328487050E-1,-1.070788130E-1,-5.676971674E-1,9.779167175E0,9.796216443E0
6.352949550E-1,-1.118644550E-1,-5.605186820E-1,9.771988869E0,9.788690479E0
6.377419340E-1,-8.793623000E-2,-5.533402562E-1,9.745667458E0,9.761759699E0
6.401872460E-1,-1.142572835E-1,-5.533402562E-1,9.748060226E0,9.764421045E0
6.426334960E-1,-1.190429255E-1,-5.413761139E-1,9.738489151E0,9.754251907E0
6.450795900E-1,-1.214357466E-1,-5.485545993E-1,9.750452995E0,9.766626460E0
6.475258400E-1,-1.142572835E-1,-5.318048596E-1,9.755238533E0,9.770391495E0
6.499728190E-1,-1.310070455E-1,-5.485545993E-1,9.762416840E0,9.778694061E0
6.524181320E-1,-1.070788130E-1,-5.461617708E-1,9.752845764E0,9.768713275E0
6.548643820E-1,-1.166501045E-1,-5.389832854E-1,9.731310844E0,9.746923667E0
6.573113610E-1,-1.118644550E-1,-5.461617708E-1,9.762416840E0,9.778322396E0
6.597566740E-1,-1.118644550E-1,-5.557330847E-1,9.736096382E0,9.752585589E0
6.622028710E-1,-1.190429255E-1,-5.270192027E-1,9.740881920E0,9.755854705E0
6.646490690E-1,-1.094716340E-1,-5.533402562E-1,9.764810562E0,9.781088630E0
6.670952670E-1,-1.118644550E-1,-5.485545993E-1,9.760024071E0,9.776067495E0
6.695422460E-1,-1.022931710E-1,-5.341976285E-1,9.769596100E0,9.784724777E0
6.719875590E-1,-1.094716340E-1,-5.629115105E-1,9.762416840E0,9.779245163E0
6.744338090E-1,-1.046859920E-1,-5.509474277E-1,9.738489151E0,9.754623169E0
6.768807360E-1,-1.046859920E-1,-5.629115105E-1,9.743274689E0,9.760083513E0
6.793261010E-1,-9.750752151E-2,-5.557330847E-1,9.764810562E0,9.781097704E0
6.817722990E-1,-1.214357466E-1,-5.605186820E-1,9.757631302E0,9.774471671E0
6.842184960E-1,-1.094716340E-1,-5.461617708E-1,9.760024071E0,9.775906433E0
6.866646940E-1,-1.142572835E-1,-5.748756528E-1,9.769596100E0,9.787162239E0
6.891116740E-1,-1.166501045E-1,-5.557330847E-1,9.757631302E0,9.774140122E0
6.915569860E-1,-1.118644550E-1,-5.389832854E-1,9.740881920E0,9.756423382E0
6.940032360E-1,-9.990034252E-2,-5.485545993E-1,9.760024071E0,9.775937913E0
6.964501630E-1,-9.750752151E-2,-5.533402562E-1,9.736096382E0,9.752295418E0
6.988955280E-1,-1.214357466E-1,-5.557330847E-1,9.750452995E0,9.767032278E0
7.013417260E-1,-1.070788130E-1,-5.485545993E-1,9.764810562E0,9.780792572E0
7.037879240E-1,-1.070788130E-1,-5.581258535E-1,9.750452995E0,9.767000766E0
7.062340170E-1,-1.094716340E-1,-5.700899959E-1,9.752845764E0,9.770106813E0
7.086810490E-1,-1.166501045E-1,-5.629115105E-1,9.757631302E0,9.774550897E0
